seller_id,city,state,seller_sk
0015a82c2db000af6aaaf3ae2ecb0532,santo andre,SP,1
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2
001e6ad469a905060d959994f1b41e4f,sao goncalo,RJ,3
002100f778ceb8431b7a1020ff7ab48f,franca,SP,4
003554e2dce176b5555353e4f3555ac8,goiania,GO,5
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,6
00720abe85ba0859807595bbf045a33b,guarulhos,SP,7
00ab3eff1b5192e5f1a63bcecfee11c8,sao paulo,SP,8
00d8b143d12632bad99c0ad66ad52825,belo horizonte,MG,9
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,10
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,11
010543a62bd80aa422851e79a3bc7540,sao paulo,SP,12
010da0602d7774602cd1b3f5fb7b709e,sao bernardo do campo,SP,13
011b0eaba87386a2ae96a7d32bb531d1,pompeia,SP,14
01266d4c46afa519678d16a8b683d325,curitiba,PR,15
013900e863eace745d3ec7614cab5b1a,curitiba,PR,16
014c0679dd340a0e338872e7ec85666a,timoteo,MG,17
014d9a685fd57276679edd00e07089e5,maringa,PR,18
0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,19
01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,20
01c97ebb5cdac52891c0ed1c37ba0012,catanduva,SP,21
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,22
01ed254b9ff8407dfb9d99ba1e17d923,mogi das cruzes,SP,23
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,24
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,25
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,26
0249d282d911d23cb8b869ab49c99f53,sao paulo,SP,27
024b564ae893ce8e9bfa02c10a401ece,sao paulo,SP,28
028872bfa080090a9d0abd4f1af168f8,ribeirao das neves,MG,29
02a2272692e13558373c66db98f05e2e,rio de janeiro,RJ,30
02b72cdeb9cfcc429f1af6f4e3f3b737,ibitinga,SP,31
02c988090b766852e088c69d7fb3b551,americana,SP,32
02d35243ea2e497335cd0f076b45675d,natal,RN,33
02dcd3e8e25bee036e32512bcf175493,contagem,MG,34
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,35
02f5837340d7eb4f653d676c7256523a,curitiba,PR,36
02f623a8eb246f3c5f7c2f96462654e6,botucatu,SP,37
0307f7565ff85b299b6e5ef162b1b1a9,sao jose do rio preto,SP,38
0336182e1b3e92f029d5354832045fdf,ibitinga,SP,39
034b9387752bfa309f350a70cd45ffa3,blumenau,SC,40
038b75b729c8a9a04b0d07cba7eabe86,sao jose dos campos,SP,41
039b29ff3b3473435d0cd59040575de9,ribeirao pires,SP,42
039e6ad9dae79614493083e241147386,sao paulo,SP,43
03a2a6dcbe45d639c4dc2a0d24769c40,maua,SP,44
03bd479e1d9484cdb14104d3023f7321,uberlandia,MG,45
0417b067eeab773d2f7061a726dc477f,sao bento do sul,SC,46
042573af89b6d931f672efaf789d8358,sorocaba,SP,47
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,48
0432ead42b6c8a0bdf68154add917fdf,maua,SP,49
044668ccd5316b12a7cf0d54a156e3e9,osasco,SP,50
04843805947f0fc584fc1969b6e50fe7,ivoti,RS,51
048c2757535328e0d7dac690ad3c0aae,franca,SP,52
04aa0a1c5ce6b222003403a3e11c3cc0,cosmopolis,SP,53
04aba03279157f6d4e0fe8ccaf21963c,santo antonio de padua,RJ,54
04e38a233f726ef161074ab1c9b0399a,sao paulo,SP,55
04ee0ec01589969663ba5967c0e0bdc0,lajeado,RS,56
04fdea0c111866e6cf812f1570d6b5bd,sao paulo,SP,57
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,58
052577151711aec5c744fe12e66db3e1,rodeio,SC,59
054694fa03fe82cec4b7551487331d74,itajobi,SP,60
056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,61
0570350b23eda5444f8d1d9544932058,sao paulo,SP,62
05730013efda596306417c3b09302475,criciuma,SC,63
058cb5aeb36d7c0fcae20fc85d5e0a59,rio de janeiro,RJ,64
058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,65
05a48cc8859962767935ab9087417fbb,sao paulo,SP,66
05a940b4ecae36cadfd8e93bd9c43257,goiania,GO,67
05aebce0b5c8f0d41b29b686f2d05fd3,sao paulo,SP,68
05ca864204d09595ae591b93ea9cf93d,barueri,SP,69
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,70
05e107217c7266362fd44b75b2cd4cc4,sao paulo - sp,SP,71
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,72
05feb94f19d094d4b0f9281f0b1d4c99,mogi das cruzes,SP,73
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,74
062c325cd6a2b87845fab56b4ec2eeae,sao paulo,SP,75
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,76
06532f10282704ef4c69168b914b77be,paincandu,PR,77
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,78
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,79
0691148aee60ca47977c187804f935ae,londrina,PR,80
0692610d8abe24f287e9fae90ea0bbee,sao paulo,SP,81
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,82
06bb3a2fe5e7b7a845b13e8fb91bd944,belo horizonte,MG,83
06df0c10d34e459d9672bc77388742eb,maringa,PR,84
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,85
07017df32dc5f2f1d2801e579548d620,joao pessoa,PB,86
070d165398b553f3b4b851c216b8a358,sao paulo,SP,87
0725b8c0f3f906e58f70cbe76b7c748c,guarulhos,SP,88
0743a0239d764b9a0f959a57d07e36ab,sao paulo,SP,89
0747d5bb69f0586cc869d8af4c50f93e,saquarema,RJ,90
0761743cbffb25d7148189e9f1a5f03a,ribeirao preto,SP,91
077c5fae4bea9500e3737b16f71b9d3a,sorocaba,SP,92
0791d9fc1e30678ecf03d3e55fa108d3,belo horizonte,MG,93
079d295dcbf06ee8bb1b65ba964eb2b6,sao paulo,SP,94
07a9bc7f61396b658ddf3ac534efe44c,sao paulo,SP,95
07bf9669d84d1f11be443a9dd938f698,sao paulo,SP,96
07d75e33f2750d97d467fb57e4dfdd8a,sao paulo,SP,97
07de60b03d150fb3ea09eab5da5e4c8b,ibitinga,SP,98
07e8e8fc5222bb358e6f259da3197074,sao paulo,SP,99
080102cd0a76b09e0dcf55fcacc60e05,belo horizonte,MG,100
080199a181c46c657dc5aa235411be3b,osasco,SP,101
08061dc0fc165ed41288cc7acde738ee,osasco,SP,102
08084d990eb3f53af056ccbc1730c8a7,sao paulo,SP,103
081acf3de680d554796c9cf041be7bc2,vespasiano,MG,104
082e0bf4cb865a6533b1e8e498cc0255,botucatu,SP,105
085f6f7e049c996695fb2074fe38d45e,taubate,SP,106
08633c14ef2db992c11f840f04fad4cd,ribeirao pires,SP,107
0873d9f8f36123f8d910f4760e788cfb,barueri,SP,108
0885aaf116795758dfeb5f1032487bcd,ferraz de vasconcelos,SP,109
0887a9f087bcd5d9f6642b52f897fc6c,cananeia,SP,110
08ad4ac1388e4420ca531c3edfc46198,itapevi,SP,111
08cdbae123ff67ca4e36d9d641ce0119,uba,MG,112
08d0949a9a17c027262db1f3c450c26c,cascavel,PR,113
08d1c9478fb0d7d7fcac9c0da4e82fc7,belo horizonte,MG,114
08d2d642cf72b622b14dde1d2f5eb2f5,marilia,SP,115
08f5819815f3d06545011850bd70f0a8,santos,SP,116
091065b789659bc3cd9af9cb3a6253ff,canoas,RS,117
0936e1837d0c79253456bbb2ffaaef10,sao paulo,SP,118
093805f8f2aeb63881444571e1f48f30,osasco,SP,119
094ced053e257ae8cae57205592d6712,ribeirao preto,SP,120
0951a6e282947e09cd47969f4ed0b47f,taboao da serra,SP,121
09883d9ab71c8fe8a9bfc7fc3075b07e,sao paulo,SP,122
099095b050cfe8eb1ddff5317587e96e,sao paulo,SP,123
09bad886111255c5b5030314fc7f1a4a,sao paulo,SP,124
09f952a5f58d2285b0372551ae8f9b01,sao bernardo do campo,SP,125
0a198e95d32b1be2da9424c962a6ebfa,contagem,MG,126
0a82f5fb06a4fe4ac2cf7cb412ec71b8,sao paulo,SP,127
0a85ebe4e328db81ac9109781205e2f7,jundiai,SP,128
0aa124728afc1131dff5655f4c6f487b,alfenas,MG,129
0aa2205ca24f113f4658a5c536667426,sao paulo,SP,130
0ac4201fda2c68ebc0e47cb9423cf3c9,sao paulo,SP,131
0ad80de75c811326389cfb1daba7d45e,rio de janeiro,RJ,132
0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,133
0ade5cc4a305ed7093a23f68ca47519c,curitiba,PR,134
0aea4c6ae1505b3228ddf3dd7822ee5b,sorocaba,SP,135
0af2ab31141893d26aca5a404a537dab,sao paulo,SP,136
0af977692321d895349eded183341d28,santos,SP,137
0afccdb8a34ee5c79f7c06faf2b4d56e,uberlandia,MG,138
0b09101900100c0e9d312861fad5a1b9,sao paulo,SP,139
0b0ddbc7b9d9584f442c7ac92b0ff6c9,guarulhos,SP,140
0b18d63d0cd1d723567903fd34a07df2,sp,SP,141
0b1ca3ef18a63d7eb0c8897fa0849c08,sao roque,SP,142
0b35c634521043bf4b47e21547b99ab5,teixeira soares,PR,143
0b36063d5818f81ccb94b54adfaebbf5,jaragua do sul,SC,144
0b3f27369a4d8df98f7eb91077e438ac,aruja,SP,145
0b46f784306be7200ca1700aa55d819f,belo horizonte,MG,146
0b64bcdb0784abc139af04077d49a20e,canoas,RS,147
0b90b6df587eb83608a64ea8b390cf07,maringa,PR,148
0bae85eb84b9fb3bd773911e89288d54,itajai,SP,149
0bb27263628258b8111a0262769fa9db,sao paulo,SP,150
0bb738e4d789e63e2267697c42d35a2d,sao roque,SP,151
0be8ff43f22e456b4e0371b2245e4d01,sao paulo,SP,152
0bebbb2cea103a4a020c95d43fd7d754,sao paulo,SP,153
0bf0150d5b9d60d9cd2906003332f085,sao paulo,SP,154
0bfd0b434243adc5c2e1aa6baf19c6aa,rio de janeiro,RJ,155
0c7533c71df861ec58ad7ff999ed0e8d,valinhos,SP,156
0c7f30ae9b147eca07affbef92832a6a,ponta grossa,PR,157
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,158
0cab2da43793a6f3c5ed8514c5f54627,curitiba,PR,159
0cbcee27c791afa0cdcb08587a2013a8,tres coracoes,MG,160
0d33a55da925bbf1ff02af5f6059fc7f,sao paulo,SP,161
0d4c8269e7f0401201794deef160edd6,ribeirao preto,SP,162
0d83f8e03188682112cc0d93523705cc,porto alegre,RS,163
0d85bbda9889ce1f7e63778d24f346eb,uberlandia,MG,164
0daf5180aa44356f60f8effa533b55a2,goiania,GO,165
0db783cfcd3b73998abc6e10e59a102f,santos,SP,166
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,167
0ddefe3c7a032b91f4e25b9c3a08fca1,sao bernardo do campo,SP,168
0df3984f9dfb3d49ac6366acbd3bbb85,betim,MG,169
0dfbed20065e425d2eaefb101f9816c0,porto ferreira,SP,170
0e44d110fa6a54e121cb2c095a77762f,francisco morato,SP,171
0e72c1a751b496722a6cb1f10653b62a,sao paulo,SP,172
0e982cff76cc0579f632cea8a0e38c9d,itajai,SC,173
0ea22c1cfbdc755f86b9b54b39c16043,sete lagoas,MG,174
0eaa7e33d73809f1f925f7d07c506cbd,santo andre,SP,175
0ebd97a106433a45a4aebe57c1799778,contagem,MG,176
0ec28cec4046a4a199b6de9b4c891d97,goiania,GO,177
0ed6ce5d87fd9c69eaacaeb778d67235,americana,SP,178
0ee4fb99ac55ffbbc98795aa01b7f8fa,santana de parnaiba,SP,179
0ef83d7d83ed97cd2a0049ac8be5f88a,curitiba,PR,180
0f0c984a4a955310903b6b6008660bad,franca,SP,181
0f519b0d2e5eb2227c93dd25038bfc01,ibitinga,SP,182
0f7eea709efdf942b5f95c7516dbacd7,pedrinhas paulista,SP,183
0f80a40c312b2472dca482cf50f5186f,lencois paulista,SP,184
0f94588695d71662beec8d883ffacf09,florianopolis,SC,185
